2-Mar,0
3-Mar,0
4-Mar,2
5-Mar,4
6-Mar,11
7-Mar,11
8-Mar,15
9-Mar,27
10-Mar,51
11-Mar,64
12-Mar,112
13-Mar,213
14-Mar,287
15-Mar,457
16-Mar,643
17-Mar,1340
18-Mar,2471
19-Mar,4408
20-Mar,6213
21-Mar,9045
22-Mar,12305
23-Mar,14904
24-Mar,17856
25-Mar,21393
26-Mar,25398
27-Mar,29766
28-Mar,33768
29-Mar,37453
30-Mar,43139
31-Mar,47439
1-Apr,51809
2-Apr,57159
3-Apr,63306
4-Apr,67551
5-Apr,72181
6-Apr,76876
7-Apr,81803
8-Apr,87028
9-Apr,92384
10-Apr,98308
11-Apr,103208
12-Apr,106863
13-Apr,110425
14-Apr,118302
15-Apr,123146
16-Apr,127352
17-Apr,131263
18-Apr,134436
19-Apr,136806
20-Apr,139385
21-Apr,142432
22-Apr,145855
23-Apr,150473
24-Apr,155113
25-Apr,158258
26-Apr,160489
27-Apr,162338
28-Apr,164841
29-Apr,167478
30-Apr,169690
1-May,172354
2-May,174331
3-May,175651
4-May,176874
5-May,178351
6-May,180216
7-May,181783
8-May,183289
9-May,184417
10-May,185357
11-May,186123
12-May,187250
13-May,188545
14-May,190357
15-May,191600
16-May,192593
17-May,193230
18-May,193821
19-May,194550
20-May,195675
21-May,196484
22-May,197266
23-May,198123
24-May,198731
25-May,199301
26-May,199968
27-May,201051
28-May,201999
29-May,202751
30-May,203303
31-May,203764
1-Jun,204337
2-Jun,204872
3-Jun,205406
4-Jun,205940
5-Jun,206511
6-Jun,206969
7-Jun,207353
8-Jun,207693
9-Jun,208118
10-Jun,208517
11-Jun,208954
12-Jun,209493
13-Jun,209878
14-Jun,210259
15-Jun,210591
16-Jun,210941
17-Jun,211260
18-Jun,211670
19-Jun,212061
20-Jun,212446
21-Jun,212741
22-Jun,213056
23-Jun,213348
24-Jun,213699
25-Jun,214070
26-Jun,214434
27-Jun,214750
28-Jun,214939
29-Jun,215179
30-Jun,215475
1-Jul,215902
2-Jul,216362
3-Jul,216730
4-Jul,216969
5-Jul,217216
6-Jul,217488
7-Jul,217777
8-Jul,218052
9-Jul,218403
10-Jul,218710
11-Jul,219051
12-Jul,219301
13-Jul,219616
14-Jul,219982
15-Jul,220367
16-Jul,220734
17-Jul,221121
18-Jul,221419
19-Jul,221703
20-Jul,222094
21-Jul,222444
22-Jul,222832
23-Jul,223192
24-Jul,223532
25-Jul,223761
26-Jul,224051
27-Jul,224249
28-Jul,224551
29-Jul,224863
30-Jul,225148
31-Jul,225460
1-Aug,225723
2-Aug,225964
3-Aug,226280
4-Aug,226581
5-Aug,226914
6-Aug,227258
7-Aug,227584
8-Aug,227832
9-Aug,228069
10-Aug,228343
11-Aug,228729
12-Aug,229167
13-Aug,229534
14-Aug,229916
15-Aug,230223
16-Aug,230458
17-Aug,230742
18-Aug,231015
19-Aug,231288
20-Aug,231574
21-Aug,231841
22-Aug,232120
23-Aug,232334
24-Aug,232565
25-Aug,232825
26-Aug,233140
27-Aug,233410
28-Aug,233688
29-Aug,233969
30-Aug,234237
31-Aug,234542
1-Sep,234806
2-Sep,235110
3-Sep,235435
4-Sep,235714
5-Sep,236009
6-Sep,236212
7-Sep,236434
8-Sep,236647
9-Sep,236983
10-Sep,237252
